Case_Year,Case Number,Incident_DateTime,Borough,Battalion,Community_District,Precinct,Incident_Classification,Cause_Fire_Description,Fire_Code_Category
2024,20263,03/28/2024 03:37:00 PM,Bronx,15,11,49,PD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2024,20264,03/28/2024 06:37:00 PM,Bronx,20,11,49,MD Residential Structure,Incendiary,Incendiary
2024,40316,03/28/2024 06:37:00 PM,Queens,47,14,101,Hospital,Electrical Wiring,Electrical
2024,10150,03/29/2024 01:06:00 AM,Manhattan,8,5,14,Vehicle,Preliminary Investigation Only,Other
2024,30320,03/29/2024 06:19:00 AM,Brooklyn,40,12,66,MD Residential Structure,Food on the Stove,Cooking
2024,10152,03/29/2024 09:00:00 AM,Manhattan,9,7,20,Commercial Structure,Incendiary,Incendiary
2024,20265,03/29/2024 11:16:00 AM,Bronx,19,5,44,Commercial Structure,Heat or Sparks from Friction,Hot Objects
2024,10153,03/29/2024 11:46:00 AM,Manhattan,10,8,19,Vehicle,Preliminary Investigation Only,Other
2024,30321,03/29/2024 11:51:00 AM,Brooklyn,37,3,79,Vehicle,Smoking (Cigarette/Cigar),Smoking
2024,30322,03/29/2024 03:37:00 PM,Brooklyn,43,11,62,Vehicle,Preliminary Investigation Only,Other
2024,20266,03/29/2024 04:53:00 PM,Bronx,20,10,45,Vehicle,Preliminary Investigation Only,Other
2024,10154,03/29/2024 07:31:00 PM,Manhattan,4,3,5,MD Residential Structure,Electrical Wiring,Electrical
2024,30323,03/29/2024 08:22:00 PM,Brooklyn,44,16,73,Religious Structure,Electrical Wiring,Electrical
2024,30324,03/29/2024 08:24:00 PM,Brooklyn,28,1,94,Vehicle,Preliminary Investigation Only,Other
2024,40317,03/29/2024 09:12:00 PM,Queens,50,12,103,Group Home,Smoking (Cigarette/Cigar),Smoking
2024,30325,03/29/2024 10:12:00 PM,Brooklyn,58,18,69,Vehicle,Preliminary Investigation Only,Other
2024,30326,03/29/2024 10:34:00 PM,Brooklyn,58,17,67,MD Residential Structure,Electrical Wiring,Electrical
2024,10155,03/30/2024 03:33:00 AM,Manhattan,4,3,7,Vehicle,Lithium Ion Battery,Electrical
2024,10156,03/30/2024 04:25:00 AM,Manhattan,16,11,32,Vehicle,Preliminary Investigation Only,Other
